-4.17791544,1,-3.80003032,2,-3.39412581,3,-3.73596167,4,4.5949681,5
-6.50782867,1,-5.93445189,2,-4.47476083,3,-6.40141753,4,3.80492223,5
-0.7341355,1,0.12976072,2,1.64091489,3,-0.65311267,4,3.4126198,5
1.70257533,1,2.35835542,2,2.29103468,3,1.8101694,4,5.94840332,5
-5.81078819,1,-5.3074366,2,-0.42139954,3,-5.59749958,4,0.92191166,5
-6.53881293,1,-5.73924787,2,-4.65073282,3,-5.65403938,4,2.2870762,5
-5.0617809,1,-4.64115763,2,-3.33205029,3,-4.5753971,4,2.32301317,5
-4.06044973,1,-3.21602484,2,-3.30285754,3,-3.34360233,4,1.50592425,5
-3.09246793,1,-1.38759005,2,-2.59890482,3,-2.21844796,4,-0.38957547,5
-3.38999333,1,-2.90289769,2,-2.96709773,3,-2.73899715,4,0.22925748,5
-3.28822655,1,-2.70783115,2,-1.89112306,3,-2.93226701,4,-0.9163027,5
-3.26882961,1,-2.2413368,2,-2.78775368,3,-3.04199648,4,-0.9677809,5
-4.43520267,1,-3.11268549,2,-3.63805708,3,-4.24982583,4,-1.74104682,5
-4.09877915,1,-2.04824844,2,-2.29046314,3,-3.86236662,4,-3.11572704,5
-5.24322295,1,-3.91710661,2,-3.21764485,3,-5.12745412,4,-2.52257121,5
-5.39402819,1,-4.3919873,2,-2.48697181,3,-5.12077559,4,-3.75907784,5
-10.75135423,1,-9.4560264,2,-7.82017893,3,-10.40360219,4,-4.5301994,5
-5.77610731,1,-4.27450835,2,-4.94144203,3,-5.2361465,4,-2.85231867,5
-9.90319534,1,-8.78140645,2,-6.58952312,3,-9.41168091,4,-4.42228461,5
-13.81084459,1,-13.17845592,2,-7.63408173,3,-12.82021304,4,-7.12226226,5
-13.11107921,1,-12.73423644,2,-9.26917452,3,-12.14737116,4,-4.60799566,5
-12.01680773,1,-11.72007187,2,-10.87301898,3,-11.68799623,4,-0.36488361,5
-5.62985637,1,-5.46522965,2,-4.27215697,3,-5.23403464,4,1.24699384,5
-2.56398915,1,-2.37805981,2,-0.85334676,3,-2.19668109,4,2.37044613,5
-0.29242442,1,-0.03086222,2,0.24580396,3,-0.07890623,4,4.89245897,5
-1.11155116,1,-0.56365731,2,0.37241649,3,-0.8876655,4,4.44382631,5
2.40633784,1,3.19723765,2,3.4156166,3,2.5046189,4,5.29156076,5
1.09921041,1,1.79633592,2,2.30043592,3,1.22555193,4,5.16289477,5
0.55781233,1,1.06194152,2,2.17714781,3,0.77279695,4,4.74182133,5
-2.45843049,1,-1.82591548,2,-1.56223076,3,-1.98278782,4,4.17677514,5
-1.03746825,1,-0.67655163,2,-0.43994528,3,-0.35621405,4,4.06730045,5
-3.13552995,1,-2.28851631,2,-2.56395756,3,-2.64828375,4,1.74156324,5
-2.10045911,1,-0.39065173,2,-1.74780661,3,-1.23255376,4,-0.36179545,5
-1.82476362,1,-1.33671118,2,-1.6990594,3,-1.54513904,4,0.96404884,5
-1.98163662,1,-1.40530717,2,-1.35122358,3,-1.65780229,4,-0.18388901,5
-1.99140754,1,-0.8881435,2,-1.8712036,3,-1.87770331,4,-0.54701101,5
-2.61019089,1,-1.39116437,2,-2.40739601,3,-2.43904487,4,-1.00732621,5
-2.24515106,1,-0.48560294,2,-1.82986778,3,-2.09408557,4,-1.36292764,5
-3.1798424,1,-2.03630241,2,-2.02390932,3,-2.99201321,4,-1.54198079,5
